month_start,country,revenue_gbp,orders,units_sold,identified_customers
2009-12-01,United Kingdom,747397.29,1595,386352,904
2009-12-01,EIRE,20099.74,20,9414,2
2009-12-01,Netherlands,15204.73,6,10822,2
2009-12-01,Germany,9830.27,18,4774,10
2009-12-01,Spain,7950.18,5,3279,4
2009-12-01,France,6521.69,13,3688,10
2009-12-01,Cyprus,3541.6800000000003,4,1572,3
2009-12-01,Portugal,2821.58,2,1575,2
2009-12-01,Austria,1998.3400000000001,2,564,2
2009-12-01,Denmark,1437.66,2,574,2
2009-12-01,Channel Islands,989.18,1,439,1
2009-12-01,Greece,610.95,1,441,1
2009-12-01,Switzerland,589.4,1,220,1
2009-12-01,Finland,549.08,1,134,1
2009-12-01,United Arab Emirates,517.7,1,520,1
2009-12-01,Norway,485.31,1,182,1
2009-12-01,Belgium,447.6,3,153,2
2009-12-01,Italy,422.35,1,157,1
2009-12-01,Poland,371.82,1,266,1
2009-12-01,Sweden,285.29999999999995,1,174,1
2009-12-01,Australia,271.1,2,160,2
2009-12-01,USA,141.0,1,1,1
2010-01-01,United Kingdom,510245.922,998,256706,663
2010-01-01,EIRE,65258.43,32,30809,5
2010-01-01,Netherlands,29230.77,6,20531,3
2010-01-01,Germany,12562.11,21,6321,13
2010-01-01,France,8465.63,12,5313,9
2010-01-01,Denmark,7870.6,2,63754,2
2010-01-01,Greece,4798.35,3,1573,2
2010-01-01,Spain,4179.59,9,1193,6
2010-01-01,USA,2289.59,5,1344,2
2010-01-01,Sweden,1680.15,3,1537,2
2010-01-01,Belgium,1634.02,4,717,3
2010-01-01,Unspecified,1035.1,2,382,2
2010-01-01,Channel Islands,838.75,1,193,1
2010-01-01,Finland,801.42,2,263,2
2010-01-01,Portugal,117.72,1,1,1
2010-01-01,Cyprus,76.52000000000001,1,32,1
2010-01-01,Italy,39.67,1,1,1
2010-01-01,Nigeria,27.82,1,1,1
2010-01-01,Japan,2.95,1,1,1
2010-02-01,United Kingdom,452927.706,1093,242725,713
2010-02-01,EIRE,21538.8,18,11631,3
2010-02-01,Denmark,19809.899999999998,2,93230,1
2010-02-01,Netherlands,17255.39,8,9883,2
2010-02-01,Germany,9124.25,27,4789,18
2010-02-01,France,9024.16,17,4996,12
2010-02-01,Sweden,8202.58,7,8497,3
2010-02-01,Belgium,3209.0,3,704,2
2010-02-01,United Arab Emirates,2822.0,4,1723,1
2010-02-01,Malta,1636.38,2,606,1
2010-02-01,Austria,1118.8600000000001,3,480,3
2010-02-01,Australia,1029.66,3,624,3
2010-02-01,RSA,931.43,1,591,1
2010-02-01,Cyprus,750.49,2,294,1
2010-02-01,Spain,554.04,4,279,3
2010-02-01,Switzerland,477.68,1,306,1
2010-02-01,Portugal,458.83000000000004,3,245,2
2010-02-01,Bahrain,439.85,1,159,0
2010-02-01,Japan,193.72,2,117,2
2010-03-01,United Kingdom,718946.791,1549,404931,984
2010-03-01,Netherlands,24447.98,15,16662,4
2010-03-01,EIRE,22989.46,27,14797,3
2010-03-01,Germany,16698.08,28,8883,19
2010-03-01,Norway,13916.34,2,2,1
2010-03-01,France,8637.79,16,4541,12
2010-03-01,Denmark,7595.18,2,64302,2
2010-03-01,Cyprus,2879.19,5,1055,4
2010-03-01,Portugal,2519.05,2,1349,2
2010-03-01,Spain,1671.77,6,1040,4
2010-03-01,Sweden,1668.18,6,686,4
2010-03-01,Bermuda,1253.1399999999999,1,2798,0
2010-03-01,United Arab Emirates,1201.52,1,1359,1
2010-03-01,Channel Islands,1065.12,1,996,1
2010-03-01,Switzerland,951.62,3,454,2
2010-03-01,Austria,925.13,5,401,4
2010-03-01,Belgium,884.52,3,481,3
2010-03-01,Italy,734.22,2,499,2
2010-03-01,Bahrain,548.8,2,98,0
2010-03-01,Greece,522.73,1,259,1
2010-03-01,Australia,429.39,2,191,2
2010-03-01,Poland,318.86,1,194,1
2010-03-01,Japan,110.4,1,48,1
2010-04-01,United Kingdom,581980.891,1350,303057,876
2010-04-01,EIRE,23904.58,19,13739,3
2010-04-01,Germany,23683.231,31,12557,22
2010-04-01,Sweden,17698.12,16,18648,3
2010-04-01,France,7642.9800000000005,11,4156,8
2010-04-01,Netherlands,6888.78,10,4944,8
2010-04-01,Belgium,2570.39,4,1445,4
2010-04-01,Hong Kong,2236.61,1,1367,0
2010-04-01,Switzerland,1939.76,2,1201,2
2010-04-01,Italy,1525.85,2,890,2
2010-04-01,Austria,1388.54,1,798,1
2010-04-01,Finland,1255.13,3,649,2
2010-04-01,Singapore,1252.95,1,509,1
2010-04-01,Cyprus,1151.7,2,459,1
2010-04-01,Channel Islands,926.82,1,367,1
2010-04-01,Spain,833.98,2,490,2
2010-04-01,Denmark,748.0,1,576,1
2010-04-01,Australia,630.95,2,560,2
2010-04-01,Greece,277.93,1,94,1
2010-04-01,Unspecified,252.51999999999998,1,153,1
2010-04-01,Portugal,85.53999999999999,1,46,1
2010-05-01,United Kingdom,558098.3,1390,337503,901
2010-05-01,Netherlands,22416.53,8,14910,6
2010-05-01,EIRE,19104.93,19,9752,2
2010-05-01,France,13912.55,16,8821,14
2010-05-01,Switzerland,9825.16,6,5947,5
2010-05-01,Germany,9108.36,17,4246,14
2010-05-01,Channel Islands,5378.52,6,2403,4
2010-05-01,Sweden,3556.7599999999998,10,6084,1
2010-05-01,Spain,2854.58,5,1498,3
2010-05-01,Greece,2476.22,2,806,2
2010-05-01,Hong Kong,2396.61,1,1,0
2010-05-01,Italy,2373.45,4,1042,3
2010-05-01,Australia,2371.15,6,667,4
2010-05-01,Finland,837.11,1,370,1
2010-05-01,Portugal,757.2,2,216,2
2010-05-01,Austria,622.04,1,655,1
2010-05-01,Bahrain,585.96,2,352,1
2010-05-01,Cyprus,515.61,1,144,1
2010-05-01,USA,416.31,2,413,1
2010-05-01,Belgium,98.15,1,38,1
2010-06-01,United Kingdom,649689.86,1523,347281,968
2010-06-01,Netherlands,24224.51,8,15761,4
2010-06-01,EIRE,22934.34,24,12306,2
2010-06-01,Germany,15668.43,27,9314,16
2010-06-01,France,9172.54,23,5709,18
2010-06-01,Belgium,3800.34,6,1588,4
2010-06-01,Portugal,3668.46,4,1632,4
2010-06-01,Australia,3214.78,3,2280,3
2010-06-01,Denmark,2695.5099999999998,4,1887,3
2010-06-01,Switzerland,2362.47,2,1882,2
2010-06-01,Spain,2332.2,2,884,2
2010-06-01,Thailand,1956.84,1,2028,1
2010-06-01,Hong Kong,1685.6499999999999,1,939,0
2010-06-01,Sweden,914.3000000000001,2,467,2
2010-06-01,USA,896.0699999999999,4,551,2
2010-06-01,Channel Islands,845.0,1,500,1
2010-06-01,Japan,594.68,2,428,2
2010-06-01,Poland,556.16,1,282,1
2010-06-01,Finland,534.14,1,242,1
2010-06-01,Cyprus,489.8,1,100,1
2010-06-01,Bahrain,463.28,1,224,0
2010-06-01,Greece,302.4,1,120,1
2010-06-01,Austria,268.1,1,281,1
2010-06-01,Italy,267.45,2,134,2
2010-07-01,United Kingdom,557550.52,1413,291263,856
2010-07-01,EIRE,35722.32,28,15415,3
2010-07-01,Germany,20274.29,26,13100,21
2010-07-01,France,11537.64,18,4131,14
2010-07-01,Netherlands,5532.64,10,3409,8
2010-07-01,Sweden,2590.78,2,2513,2
2010-07-01,Unspecified,2379.88,2,1276,1
2010-07-01,Israel,1950.98,1,762,1
2010-07-01,Belgium,1914.23,7,1393,6
2010-07-01,Lithuania,1706.23,1,971,1
2010-07-01,Japan,1253.3,3,726,1
2010-07-01,Spain,1134.81,3,806,3
2010-07-01,Thailand,1113.7,1,524,1
2010-07-01,Finland,956.23,2,362,2
2010-07-01,Switzerland,743.99,5,507,3
2010-07-01,Australia,686.12,3,224,2
2010-07-01,Denmark,591.6600000000001,1,164,1
2010-07-01,USA,508.1,1,134,1
2010-07-01,Poland,374.75,1,143,1
2010-07-01,Portugal,288.1,1,72,1
2010-08-01,United Kingdom,594527.35,1320,331867,849
2010-08-01,EIRE,26005.71,27,15808,3
2010-08-01,Netherlands,25028.69,10,17667,5
2010-08-01,France,16570.32,10,89914,10
2010-08-01,Germany,9943.119999999999,24,5264,16
2010-08-01,Malta,3737.12,2,943,1
2010-08-01,Sweden,2702.94,5,1827,2
2010-08-01,Denmark,2643.03,3,1520,3
2010-08-01,Switzerland,2053.05,3,1062,3
2010-08-01,United Arab Emirates,2047.28,1,1364,1
2010-08-01,Hong Kong,1883.65,1,1,0
2010-08-01,Belgium,1713.62,3,954,3
2010-08-01,Channel Islands,1363.14,2,662,2
2010-08-01,Spain,1299.99,5,675,4
2010-08-01,Austria,1043.15,1,689,1
2010-08-01,Greece,721.7099999999999,1,561,1
2010-08-01,West Indies,536.41,1,395,1
2010-08-01,Poland,527.4399999999999,1,320,1
2010-08-01,Portugal,463.21999999999997,2,189,2
2010-08-01,Australia,176.0,1,88,1
2010-08-01,Norway,152.4,1,508,1
2010-08-01,Nigeria,112.57000000000001,1,102,1
2010-09-01,United Kingdom,770522.681,1661,494698,1048
2010-09-01,Netherlands,45037.14,19,29199,8
2010-09-01,EIRE,36958.12,35,20107,2
2010-09-01,Germany,17708.68,32,9243,21
2010-09-01,France,14531.33,26,6960,16
2010-09-01,Channel Islands,6156.34,9,3341,5
2010-09-01,Spain,3770.45,6,2325,6
2010-09-01,Portugal,2964.58,6,1795,4
2010-09-01,Sweden,2899.56,4,3526,3
2010-09-01,Singapore,2784.82,3,1244,1
2010-09-01,Switzerland,2474.44,4,1356,3
2010-09-01,Unspecified,1978.15,2,1256,2
2010-09-01,Austria,1940.17,5,1217,3
2010-09-01,Japan,1895.0,1,1100,1
2010-09-01,Denmark,1725.25,3,1307,2
2010-09-01,Italy,1380.56,2,1074,2
2010-09-01,Belgium,1190.91,5,651,5
2010-09-01,Cyprus,993.1800000000001,3,493,3
2010-09-01,Norway,973.69,1,619,1
2010-09-01,Finland,864.68,2,763,2
2010-09-01,Australia,785.83,2,293,2
2010-09-01,Greece,780.06,1,146,1
2010-09-01,United Arab Emirates,383.24,2,557,0
2010-09-01,Poland,349.47,2,231,2
2010-09-01,Brazil,268.27,1,189,1
2010-09-01,Lebanon,211.7,1,72,0
2010-09-01,Korea,168.69000000000003,1,102,1
2010-10-01,United Kingdom,996928.61,2104,523139,1379
2010-10-01,EIRE,50079.05,47,20053,2
2010-10-01,Germany,21499.98,38,11830,30
2010-10-01,Netherlands,17265.85,12,17628,4
2010-10-01,France,15207.57,28,9921,22
2010-10-01,Spain,14066.13,10,6937,8
2010-10-01,Sweden,9369.41,8,7814,6
2010-10-01,Switzerland,8629.69,6,4611,6
2010-10-01,Italy,5208.22,7,2116,7
2010-10-01,Channel Islands,4341.19,4,1899,3
2010-10-01,Greece,3084.02,1,1753,1
2010-10-01,Australia,2989.15,9,1881,8
2010-10-01,Portugal,2978.23,5,2224,5
2010-10-01,Japan,1533.8899999999999,1,3199,1
2010-10-01,Belgium,1475.72,5,664,4
2010-10-01,RSA,1435.29,1,1027,0
2010-10-01,Austria,1236.7,4,351,3
2010-10-01,Finland,1166.69,2,675,2
2010-10-01,Canada,834.89,1,671,1
2010-10-01,Iceland,611.53,1,509,1
2010-10-01,Cyprus,551.33,1,253,1
2010-10-01,United Arab Emirates,509.92,2,351,1
2010-10-01,Denmark,448.6,2,169,2
2010-10-01,Bahrain,317.76,1,192,1
2010-10-01,USA,132.8,1,129,1
2010-11-01,United Kingdom,1269636.102,2520,621325,1486
2010-11-01,Netherlands,36058.74,22,22102,7
2010-11-01,EIRE,31031.31,42,15491,3
2010-11-01,Germany,30240.51,43,15679,26
2010-11-01,France,19588.52,40,11690,24
2010-11-01,Australia,18245.52,5,12900,4
2010-11-01,Switzerland,13570.73,6,4599,5
2010-11-01,Spain,6126.21,7,2968,6
2010-11-01,Portugal,5477.97,8,2144,5
2010-11-01,Belgium,5252.9800000000005,7,2743,7
2010-11-01,Norway,4629.32,4,2974,3
2010-11-01,Denmark,4059.96,3,1753,3
2010-11-01,Austria,2873.3,5,1261,4
2010-11-01,Italy,2673.16,6,1287,5
2010-11-01,Channel Islands,2278.73,3,1111,3
2010-11-01,Sweden,1933.91,5,782,3
2010-11-01,United Arab Emirates,1713.69,2,465,1
2010-11-01,Lithuania,1525.39,1,683,1
2010-11-01,RSA,1435.29,1,1,0
2010-11-01,Israel,1248.42,1,370,1
2010-11-01,Korea,949.82,1,598,1
2010-11-01,Poland,821.14,2,568,2
2010-11-01,Greece,761.3,1,414,1
2010-11-01,Unspecified,540.57,4,367,1
2010-11-01,Finland,414.98,2,213,1
2010-11-01,USA,402.59999999999997,1,234,1
2010-11-01,Cyprus,397.59999999999997,1,208,1
2010-11-01,Canada,381.77000000000004,1,223,1
2010-11-01,Japan,23.6,3,8,1
2010-12-01,United Kingdom,746082.22,1447,312963,815
2010-12-01,Germany,15205.74,30,6865,18
2010-12-01,EIRE,10033.26,17,5770,3
2010-12-01,France,9616.31,21,4989,15
2010-12-01,Netherlands,8784.48,3,6811,2
2010-12-01,Japan,7705.07,3,4093,3
2010-12-01,Sweden,3834.2999999999997,2,3954,1
2010-12-01,Norway,3787.12,2,3582,1
2010-12-01,Portugal,2439.9700000000003,6,984,6
2010-12-01,Spain,1843.73,4,867,4
2010-12-01,Belgium,1809.91,5,1755,4
2010-12-01,Lithuania,1661.06,4,652,1
2010-12-01,Cyprus,1587.07,1,916,1
2010-12-01,Switzerland,1304.92,2,714,2
2010-12-01,Denmark,1281.5,1,454,1
2010-12-01,Australia,965.35,3,457,2
2010-12-01,Finland,892.8,1,1254,1
2010-12-01,Italy,811.5,2,295,2
2010-12-01,Iceland,711.79,1,319,1
2010-12-01,Channel Islands,363.53,1,80,1
2010-12-01,Austria,277.2,1,51,1
2010-12-01,Poland,248.16,1,140,1
2010-12-01,Bahrain,205.74,1,54,0
2011-01-01,United Kingdom,559975.83,971,315115,647
2011-01-01,Netherlands,26611.16,5,20417,2
2011-01-01,EIRE,21904.19,7,8794,2
2011-01-01,France,17740.12,29,9199,24
2011-01-01,Germany,16880.84,31,9053,28
2011-01-01,Spain,10086.09,8,3845,7
2011-01-01,Australia,9017.710000000001,9,5644,7
2011-01-01,Switzerland,4231.23,3,2993,3
2011-01-01,Portugal,4055.71,4,2094,4
2011-01-01,Sweden,3486.32,2,3097,2
2011-01-01,Greece,2661.24,1,526,1
2011-01-01,Italy,2402.51,3,1121,3
2011-01-01,Hong Kong,2230.96,1,1061,0
2011-01-01,Singapore,2053.07,1,1091,1
2011-01-01,Lebanon,1693.88,1,386,1
2011-01-01,Belgium,1200.2,3,792,3
2011-01-01,Finland,889.02,2,765,2
2011-01-01,Channel Islands,675.58,1,259,1
2011-01-01,Poland,613.22,1,288,1
2011-01-01,Cyprus,547.5,1,144,1
2011-01-01,Iceland,475.39,1,315,1
2011-01-01,Israel,379.84000000000003,1,100,0
2011-02-01,United Kingdom,428986.62,995,229684,679
2011-02-01,Netherlands,23011.91,5,16387,2
2011-02-01,Australia,14695.42,5,8680,4
2011-02-01,EIRE,12203.74,13,5968,2
2011-02-01,Germany,9581.05,19,4245,17
2011-02-01,France,8515.96,21,5340,17
2011-02-01,Japan,5780.8099999999995,2,2999,2
2011-02-01,Cyprus,4334.24,6,2191,4
2011-02-01,Switzerland,2654.92,5,1107,4
2011-02-01,Belgium,2181.07,8,1102,7
2011-02-01,Spain,2114.5,4,870,4
2011-02-01,Channel Islands,1784.71,1,935,1
2011-02-01,Portugal,1213.9,2,558,2
2011-02-01,United Arab Emirates,889.24,1,496,1
2011-02-01,Israel,779.1,1,286,1
2011-02-01,Norway,630.9,2,295,2
2011-02-01,Poland,604.05,2,297,2
2011-02-01,Czech Republic,549.26,1,346,1
2011-02-01,Austria,518.36,2,342,2
2011-02-01,Sweden,509.5,1,250,1
2011-02-01,Denmark,399.22,1,224,1
2011-02-01,Italy,256.0,1,111,1
2011-02-01,Finland,205.16,1,141,1
2011-02-01,Saudi Arabia,145.92,1,80,1
2011-03-01,United Kingdom,584810.78,1308,304067,880
2011-03-01,Netherlands,22416.489999999998,8,14828,4
2011-03-01,EIRE,22197.51,23,9580,3
2011-03-01,Australia,17223.99,3,10439,3
2011-03-01,France,14584.95,25,8688,17
2011-03-01,Germany,14392.69,32,7739,24
2011-03-01,Finland,5936.82,5,2536,1
2011-03-01,Spain,5363.15,8,2545,8
2011-03-01,Sweden,4720.58,3,5407,2
2011-03-01,Denmark,3978.9900000000002,1,879,1
2011-03-01,Channel Islands,3509.33,3,2104,3
2011-03-01,Belgium,3351.98,9,1783,8
2011-03-01,Portugal,2660.85,5,1626,4
2011-03-01,Hong Kong,2583.76,1,1,0
2011-03-01,Switzerland,1870.23,3,986,3
2011-03-01,Italy,1806.81,4,688,3
2011-03-01,Austria,1708.12,2,982,2
2011-03-01,Norway,1265.31,4,156,1
2011-03-01,Cyprus,938.39,1,1005,1
2011-03-01,Greece,387.31,1,289,1
2011-03-01,Poland,317.78,1,162,1
2011-03-01,Canada,140.54,1,88,1
2011-03-01,Japan,48.9,3,21,3
2011-04-01,United Kingdom,475677.631,1153,275417,784
2011-04-01,Germany,12315.54,23,5764,19
2011-04-01,Singapore,8209.58,3,1389,1
2011-04-01,EIRE,7570.5,11,4135,2
2011-04-01,Japan,6548.5,2,8058,2
2011-04-01,France,5529.61,14,2287,14
2011-04-01,Netherlands,2976.56,3,1768,1
2011-04-01,Switzerland,2076.94,4,886,2
2011-04-01,Belgium,1989.48,6,1183,6
2011-04-01,Spain,1785.65,3,953,3
2011-04-01,Finland,1688.92,4,818,4
2011-04-01,Portugal,1687.75,2,951,2
2011-04-01,Hong Kong,1539.64,1,732,0
2011-04-01,Brazil,1143.6,1,356,1
2011-04-01,Sweden,809.1,2,310,2
2011-04-01,Australia,771.6,2,225,2
2011-04-01,Italy,737.8299999999999,2,653,2
2011-04-01,Poland,705.8399999999999,1,432,1
2011-04-01,Austria,680.78,2,311,2
2011-04-01,Iceland,636.25,1,483,1
2011-04-01,Greece,609.74,1,262,1
2011-04-01,USA,383.95,1,137,1
2011-04-01,Unspecified,299.1,1,282,1
2011-04-01,Channel Islands,293.0,1,97,1
2011-04-01,European Community,191.4,1,34,1
2011-04-01,Israel,110.0,1,30,0
2011-05-01,United Kingdom,638104.89,1523,321062,962
2011-05-01,Netherlands,29185.88,11,19936,4
2011-05-01,Germany,25734.7,42,12987,27
2011-05-01,EIRE,18003.72,22,8016,3
2011-05-01,France,17606.48,39,9784,28
2011-05-01,Australia,13638.41,4,8999,2
2011-05-01,Portugal,4202.2300000000005,5,315,1
2011-05-01,Switzerland,3610.0099999999998,3,2249,3
2011-05-01,Spain,3257.6,4,1468,3
2011-05-01,Belgium,2732.4,9,1829,7
2011-05-01,Sweden,2681.98,3,2833,2
2011-05-01,Hong Kong,1966.16,1,1262,0
2011-05-01,Poland,1522.37,3,616,3
2011-05-01,Japan,1351.45,1,743,1
2011-05-01,Austria,1249.43,2,476,2
2011-05-01,Channel Islands,1207.24,2,224,2
2011-05-01,Unspecified,1055.8700000000001,2,803,1
2011-05-01,Italy,587.45,1,267,1
2011-05-01,Bahrain,548.4,2,260,2
2011-05-01,Canada,534.24,1,504,1
2011-05-01,Denmark,515.7,1,368,1
2011-06-01,United Kingdom,618345.53,1383,304431,889
2011-06-01,Netherlands,26858.09,11,19744,5
2011-06-01,Australia,25187.77,4,15981,2
2011-06-01,EIRE,24863.61,28,12905,2
2011-06-01,France,16348.41,31,9705,25
2011-06-01,Germany,13246.35,24,7438,21
2011-06-01,Switzerland,7904.15,4,3970,4
2011-06-01,Norway,5886.860000000001,4,2009,2
2011-06-01,Belgium,4274.82,11,2245,11
2011-06-01,Spain,3333.21,8,1538,8
2011-06-01,Denmark,3261.15,3,1544,3
2011-06-01,Channel Islands,2060.0299999999997,1,836,1
2011-06-01,Japan,1607.04,1,2256,1
2011-06-01,Canada,1171.46,1,1092,1
2011-06-01,Cyprus,1109.32,1,356,1
2011-06-01,Portugal,884.46,3,421,3
2011-06-01,Malta,863.16,2,402,1
2011-06-01,Sweden,832.0,3,404,3
2011-06-01,Hong Kong,633.96,1,537,0
2011-06-01,European Community,432.05,2,130,1
2011-06-01,Iceland,382.52,1,196,1
2011-06-01,Poland,343.65000000000003,2,81,2
2011-06-01,Finland,329.56,1,157,1
2011-06-01,Italy,202.07,2,55,2
2011-06-01,Unspecified,185.78,1,78,1
2011-07-01,United Kingdom,600919.071,1337,332358,859
2011-07-01,EIRE,42738.85,27,22107,3
2011-07-01,Germany,16440.98,33,9096,26
2011-07-01,France,10000.19,22,5664,18
2011-07-01,Spain,7620.77,9,3435,7
2011-07-01,Sweden,6802.09,3,6006,2
2011-07-01,Australia,4964.38,7,5318,3
2011-07-01,Switzerland,3990.76,6,1825,4
2011-07-01,Singapore,3949.32,1,2160,1
2011-07-01,Japan,3854.4,2,2328,2
2011-07-01,Finland,2996.73,3,1273,3
2011-07-01,Belgium,2475.57,5,1679,4
2011-07-01,Portugal,2287.85,3,1436,3
2011-07-01,Canada,1768.58,2,1027,1
2011-07-01,Israel,1430.75,1,633,1
2011-07-01,Unspecified,1419.11,4,1049,2
2011-07-01,Austria,1191.95,2,573,2
2011-07-01,Norway,890.0699999999999,1,586,1
2011-07-01,Poland,687.3,2,288,2
2011-07-01,European Community,676.8,1,335,1
2011-07-01,Greece,421.24,1,244,1
2011-07-01,Denmark,376.24,1,241,1
2011-07-01,Italy,147.1,1,22,1
2011-07-01,Netherlands,26.02,1,10,1
2011-08-01,United Kingdom,606784.93,1210,332026,834
2011-08-01,Netherlands,40327.81,7,29300,1
2011-08-01,Australia,22489.2,2,12570,2
2011-08-01,Germany,19220.77,39,9641,29
2011-08-01,EIRE,18344.2,19,10072,2
2011-08-01,France,13810.96,28,7958,22
2011-08-01,Switzerland,4969.89,3,2998,3
2011-08-01,Channel Islands,4886.88,5,2003,4
2011-08-01,Israel,4873.8099999999995,1,3028,1
2011-08-01,Belgium,3554.02,9,2069,8
2011-08-01,Spain,3342.41,10,1598,6
2011-08-01,Hong Kong,2813.9500000000003,2,736,0
2011-08-01,Norway,2025.81,2,636,2
2011-08-01,Italy,1990.95,4,1147,3
2011-08-01,Austria,1516.08,2,790,2
2011-08-01,Sweden,1390.3600000000001,5,1309,4
2011-08-01,Finland,1376.5,3,693,2
2011-08-01,Portugal,1221.4,1,1026,1
2011-08-01,Malta,1119.0,2,382,2
2011-08-01,Iceland,584.9100000000001,1,277,1
2011-08-01,Unspecified,531.03,2,185,2
2011-08-01,Poland,401.8,2,186,2
2011-08-01,Denmark,213.15,1,338,1
2011-08-01,Canada,51.559999999999995,1,52,1
2011-09-01,United Kingdom,895098.642,1645,477900,1146
2011-09-01,EIRE,42923.7,38,22983,2
2011-09-01,Netherlands,26937.26,7,17309,2
2011-09-01,France,23428.04,45,13002,36
2011-09-01,Germany,18079.47,41,11153,31
2011-09-01,Norway,8678.94,6,4655,5
2011-09-01,Switzerland,8284.86,7,4255,5
2011-09-01,Spain,5189.24,8,2683,6
2011-09-01,Australia,5106.7300000000005,8,4079,6
2011-09-01,Sweden,4575.21,3,4344,3
2011-09-01,Denmark,4570.16,3,1608,3
2011-09-01,Belgium,4208.02,7,1969,7
2011-09-01,Hong Kong,2653.95,1,1,0
2011-09-01,Portugal,1433.22,3,899,3
2011-09-01,Channel Islands,1323.75,2,764,2
2011-09-01,Finland,1105.45,4,515,4
2011-09-01,United Arab Emirates,1013.04,2,486,1
2011-09-01,Poland,529.25,2,253,2
2011-09-01,Israel,423.73,1,233,0
2011-09-01,Unspecified,284.3,1,257,0
2011-09-01,Italy,279.8,1,48,1
2011-09-01,Cyprus,196.35,1,33,1
2011-09-01,Japan,112.07999999999998,1,144,1
2011-10-01,United Kingdom,935404.14,1811,503311,1230
2011-10-01,Netherlands,40708.65,15,27230,4
2011-10-01,France,33471.05,35,13801,27
2011-10-01,Germany,31628.42,58,17732,38
2011-10-01,EIRE,24302.920000000002,31,15900,2
2011-10-01,Australia,17150.53,4,7401,2
2011-10-01,Spain,8636.94,8,4352,7
2011-10-01,Switzerland,8050.7300000000005,8,4857,5
2011-10-01,Singapore,7067.32,2,601,1
2011-10-01,Portugal,6184.22,10,3279,5
2011-10-01,Sweden,5766.16,3,6151,2
2011-10-01,Belgium,5685.38,11,3170,9
2011-10-01,Cyprus,4350.32,4,1402,4
2011-10-01,Norway,3687.23,7,1692,5
2011-10-01,Italy,3489.69,7,1597,5
2011-10-01,Finland,2822.12,6,1115,5
2011-10-01,Channel Islands,2623.32,5,1407,2
2011-10-01,USA,2311.2,2,1717,2
2011-10-01,Japan,1948.0400000000002,2,1124,2
2011-10-01,Denmark,1490.76,3,869,3
2011-10-01,Iceland,1294.32,1,676,1
2011-10-01,Austria,1043.78,1,491,1
2011-10-01,RSA,1002.3100000000001,1,351,1
2011-10-01,Hong Kong,734.52,2,382,0
2011-10-01,Czech Republic,277.48,1,325,1
2011-10-01,Israel,132.18,2,96,1
2011-11-01,United Kingdom,1319934.07,2490,651942,1505
2011-11-01,France,31696.37,64,17858,39
2011-11-01,EIRE,30713.43,42,16655,2
2011-11-01,Germany,27967.68,68,13435,44
2011-11-01,Netherlands,25874.01,15,18663,4
2011-11-01,Spain,8669.06,14,3505,12
2011-11-01,Japan,8460.08,2,4250,2
2011-11-01,Switzerland,8118.96,6,3777,4
2011-11-01,Australia,7242.72,6,4098,3
2011-11-01,Norway,6527.5,5,3406,5
2011-11-01,Belgium,6315.76,11,2560,8
2011-11-01,Italy,4571.08,9,2063,9
2011-11-01,Finland,3070.24,8,1087,5
2011-11-01,Sweden,2722.23,5,1973,5
2011-11-01,Denmark,2699.57,2,1537,2
2011-11-01,Portugal,2603.3,10,1073,7
2011-11-01,Channel Islands,1514.77,3,716,2
2011-11-01,Poland,1361.23,2,941,2
2011-11-01,Austria,1329.78,2,717,2
2011-11-01,Unspecified,965.75,2,641,0
2011-11-01,Malta,743.43,1,186,1
2011-11-01,Cyprus,439.66,1,293,1
2011-11-01,Hong Kong,326.1,1,1,0
2011-12-01,United Kingdom,591619.74,746,286630,560
2011-12-01,Netherlands,11728.02,3,7958,1
2011-12-01,Germany,7984.17,17,4006,12
2011-12-01,EIRE,7340.89,10,4122,1
2011-12-01,France,7294.92,18,3786,17
2011-12-01,Portugal,2808.19,4,1569,4
2011-12-01,Norway,2785.7000000000003,3,2319,2
2011-12-01,Belgium,1417.73,4,1101,4
2011-12-01,Finland,1232.76,3,350,3
2011-12-01,USA,885.24,2,604,2
2011-12-01,Austria,683.2,1,148,1
2011-12-01,Greece,680.99,1,236,1
2011-12-01,Spain,316.21,2,274,2
2011-12-01,Sweden,238.0,1,40,1
2011-12-01,Iceland,224.82,1,192,1
2011-12-01,Italy,200.45000000000002,1,45,1
2011-12-01,Channel Islands,198.4,1,60,1
2011-12-01,Denmark,168.9,1,173,1
